"gameid","gametype","blue","red","resultb","url","SPLIT_STRING(blue,',',1)","SPLIT_STRING(blue,',',2)","SPLIT_STRING(blue,',',3)","SPLIT_STRING(blue,',',4)","SPLIT_STRING(blue,',',5)","SPLIT_STRING(red,',',1)","SPLIT_STRING(red,',',2)","SPLIT_STRING(red,',',3)","SPLIT_STRING(red,',',4)","SPLIT_STRING(red,',',5)"
"3214454818","Normal","Karma,Yasuo,Twitch,Lee Sin,Alistar","Lux,Singed,Jarvan IV,Quinn,Viktor","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3214454818&summonerId=5690896&gameTime=1527049704","Karma","Yasuo","Twitch","Lee Sin","Alistar","Lux","Singed","Jarvan IV","Quinn","Viktor"
"3215177664","Normal","Karma,Kayn,Talon,Orianna,Kai'Sa","Zed,Shaco,Yasuo,Braum,Lucian","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3215177664&summonerId=5690896&gameTime=1527094616","Karma","Kayn","Talon","Orianna","Kai'Sa","Zed","Shaco","Yasuo","Braum","Lucian"
"3223726389","Normal","Miss Fortune,Graves,LeBlanc,Fiora,Ashe","Rengar,Lux,Zyra,Riven,Lucian","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3223726389&summonerId=8265848&gameTime=1527744213","Miss Fortune","Graves","LeBlanc","Fiora","Ashe","Rengar","Lux","Zyra","Riven","Lucian"
"3223703727","Normal","Vladimir,Graves,Tryndamere,Zyra,Vayne","Blitzcrank,Camille,Katarina,Volibear,Ezreal","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3223703727&summonerId=8265848&gameTime=1527742995","Vladimir","Graves","Tryndamere","Zyra","Vayne","Blitzcrank","Camille","Katarina","Volibear","Ezreal"
"3230848065","Normal","Vladimir,Kai'Sa,Pyke,Camille,LeBlanc","Soraka,Lucian,Pyke,Camille,Twisted Fate","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3230848065&summonerId=1448051&gameTime=1528230451","Vladimir","Kai'Sa","Pyke","Camille","LeBlanc","Soraka","Lucian","Pyke","Camille","Twisted Fate"
"3238093974","Normal","Riven,Morgana,Jarvan IV,Yasuo,Vladimir","Singed,Illaoi,Yasuo,Taliyah,Lucian","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3238093974&summonerId=1448051&gameTime=1528743364","Riven","Morgana","Jarvan IV","Yasuo","Vladimir","Singed","Illaoi","Yasuo","Taliyah","Lucian"
"3253433781","Normal","Lee Sin,Morgana,Ezreal,Aatrox,Twisted Fate","Aatrox,Yasuo,Lulu,Camille,Orianna","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3253433781&summonerId=1448051&gameTime=1530102071","Lee Sin","Morgana","Ezreal","Aatrox","Twisted Fate","Aatrox","Yasuo","Lulu","Camille","Orianna"
"3253748650","Normal","Renekton,Karma,Kindred,Galio,Pyke","Talon,Dr. Mundo,Ryze,Rengar,Lux","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3253748650&summonerId=8265848&gameTime=1530156751","Renekton","Karma","Kindred","Galio","Pyke","Talon","Dr. Mundo","Ryze","Rengar","Lux"
"3253735908","Normal","Lee Sin,Garen,Blitzcrank,Darius,Ahri","Soraka,LeBlanc,Aatrox,Camille,Miss Fortune","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3253735908&summonerId=8265848&gameTime=1530154282","Lee Sin","Garen","Blitzcrank","Darius","Ahri","Soraka","LeBlanc","Aatrox","Camille","Miss Fortune"
"3253388079","Normal","Vladimir,Master Yi,Twisted Fate,Camille,Pyke","Riven,Swain,Teemo,Aatrox,Fiddlesticks","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3253388079&summonerId=1448051&gameTime=1530100421","Vladimir","Master Yi","Twisted Fate","Camille","Pyke","Riven","Swain","Teemo","Aatrox","Fiddlesticks"
"3253801224","Normal","Darius,Xerath,Ezreal,Rengar,Garen","Twitch,Master Yi,Zac,Gragas,Orianna","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3253801224&summonerId=8265848&gameTime=1530159208","Darius","Xerath","Ezreal","Rengar","Garen","Twitch","Master Yi","Zac","Gragas","Orianna"
"3255707180","Normal","Pantheon,Rakan,Gangplank,Xayah,Darius","Talon,Amumu,Soraka,Fiddlesticks,Miss Fortune","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3255707180&summonerId=70160800&gameTime=1530291175","Pantheon","Rakan","Gangplank","Xayah","Darius","Talon","Amumu","Soraka","Fiddlesticks","Miss Fortune"
"3263488968","Normal","Ryze,Kindred,Zoe,Yasuo,Blitzcrank","Irelia,Morgana,Thresh,Nunu & Willump,Zed","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3263488968&summonerId=70150832&gameTime=1530872674","Ryze","Kindred","Zoe","Yasuo","Blitzcrank","Irelia","Morgana","Thresh","Nunu & Willump","Zed"
"3263525260","Normal","Tryndamere,Ivern,Rengar,Gragas,Lee Sin","Lulu,Varus,Lee Sin,Trundle,Aatrox","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3263525260&summonerId=70150832&gameTime=1530874287","Tryndamere","Ivern","Rengar","Gragas","Lee Sin","Lulu","Varus","Lee Sin","Trundle","Aatrox"
"3263538874","Normal","Vel'Koz,Tristana,Graves,Morgana,Fiora","Sejuani,Zed,Ziggs,Garen,Alistar","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3263538874&summonerId=70150832&gameTime=1530876229","Vel'Koz","Tristana","Graves","Morgana","Fiora","Sejuani","Zed","Ziggs","Garen","Alistar"
"3267880776","Normal","Miss Fortune,Hecarim,Jarvan IV,Aatrox,Tristana","Brand,Master Yi,Aatrox,Pantheon,Quinn","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3267880776&summonerId=8967256&gameTime=1531149376","Miss Fortune","Hecarim","Jarvan IV","Aatrox","Tristana","Brand","Master Yi","Aatrox","Pantheon","Quinn"
"3267886184","Normal","Nocturne,Jhin,Thresh,Veigar,Urgot","Gnar,Pyke,Elise,Galio,Quinn","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3267886184&summonerId=8967256&gameTime=1531151923","Nocturne","Jhin","Thresh","Veigar","Urgot","Gnar","Pyke","Elise","Galio","Quinn"
"3268394042","Normal","Zed,Master Yi,Alistar,Camille,Nasus","Thresh,Vladimir,Zoe,Skarner,Darius","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3268394042&summonerId=12890455&gameTime=1531210933","Zed","Master Yi","Alistar","Camille","Nasus","Thresh","Vladimir","Zoe","Skarner","Darius"
"3268428327","Normal","Jinx,Orianna,Gragas,Darius,Malphite","Alistar,Lucian,Miss Fortune,Orianna,Kindred","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3268428327&summonerId=12890455&gameTime=1531212503","Jinx","Orianna","Gragas","Darius","Malphite","Alistar","Lucian","Miss Fortune","Orianna","Kindred"
"3268715442","Normal","Garen,Maokai,Darius,Teemo,Vayne","Lulu,Darius,Lux,Ezreal,Lee Sin","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3268715442&summonerId=35521248&gameTime=1531229018","Garen","Maokai","Darius","Teemo","Vayne","Lulu","Darius","Lux","Ezreal","Lee Sin"
"3268764079","Normal","Lux,Talon,Riven,Morgana,Malphite","Morgana,Yasuo,Fiddlesticks,Vayne,Talon","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3268764079&summonerId=35521248&gameTime=1531231916","Lux","Talon","Riven","Morgana","Malphite","Morgana","Yasuo","Fiddlesticks","Vayne","Talon"
"3268937526","Normal","Lee Sin,Lulu,Lux,Miss Fortune,Gangplank","Annie,Miss Fortune,Renekton,Karthus,Zoe","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3268937526&summonerId=2426765&gameTime=1531242136","Lee Sin","Lulu","Lux","Miss Fortune","Gangplank","Annie","Miss Fortune","Renekton","Karthus","Zoe"
"3270229830","Normal","Orianna,Draven,Singed,Poppy,Warwick","Ashe,Master Yi,Veigar,Lux,Kindred","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3270229830&summonerId=2018809&gameTime=1531373725","Orianna","Draven","Singed","Poppy","Warwick","Ashe","Master Yi","Veigar","Lux","Kindred"
"3215154113","Normal","Ezreal,Blitzcrank,Master Yi,Maokai,LeBlanc","Nidalee,Trundle,Zoe,Talon,Jhin","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3215154113&summonerId=5690896&gameTime=1527092618","Ezreal","Blitzcrank","Master Yi","Maokai","LeBlanc","Nidalee","Trundle","Zoe","Talon","Jhin"
"3274898585","Normal","Jhin,Aatrox,Lee Sin,Fizz,Ezreal","Lee Sin,Lulu,Kennen,Draven,Nami","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3274898585&summonerId=60721408&gameTime=1531748420","Jhin","Aatrox","Lee Sin","Fizz","Ezreal","Lee Sin","Lulu","Kennen","Draven","Nami"
"3275165282","Normal","Master Yi,Camille,Zed,Jayce,Teemo","Tahm Kench,Blitzcrank,Miss Fortune,Teemo,Akali","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3275165282&summonerId=60721408&gameTime=1531793783","Master Yi","Camille","Zed","Jayce","Teemo","Tahm Kench","Blitzcrank","Miss Fortune","Teemo","Akali"
"3275517168","Normal","Twitch,Anivia,Lulu,Kindred,Yasuo","Janna,Talon,Xayah,Yasuo,Lee Sin","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3275517168&summonerId=5598417&gameTime=1531833096","Twitch","Anivia","Lulu","Kindred","Yasuo","Janna","Talon","Xayah","Yasuo","Lee Sin"
"3276346069","Normal","Teemo,Miss Fortune,Riven,Graves,Blitzcrank","Yasuo,Thresh,Nasus,Varus,Taliyah","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3276346069&summonerId=9920730&gameTime=1531906800","Teemo","Miss Fortune","Riven","Graves","Blitzcrank","Yasuo","Thresh","Nasus","Varus","Taliyah"
"3276378357","Normal","Yasuo,Rakan,Lux,Twitch,Evelynn","Rek'Sai,Vayne,Cassiopeia,Irelia,Leona","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3276378357&summonerId=9920730&gameTime=1531909294","Yasuo","Rakan","Lux","Twitch","Evelynn","Rek'Sai","Vayne","Cassiopeia","Irelia","Leona"
"3276729154","Normal","Xayah,Rakan,Renekton,Kindred,Corki","Nasus,Kindred,Jhin,Alistar,Malzahar","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3276729154&summonerId=6935331&gameTime=1531939380","Xayah","Rakan","Renekton","Kindred","Corki","Nasus","Kindred","Jhin","Alistar","Malzahar"
"3277672277","Normal","Yasuo,Teemo,Blitzcrank,Nidalee,Caitlyn","Cho'Gath,Master Yi,Nasus,Nidalee,Teemo","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3277672277&summonerId=13761388&gameTime=1532016412","Yasuo","Teemo","Blitzcrank","Nidalee","Caitlyn","Cho'Gath","Master Yi","Nasus","Nidalee","Teemo"
"3278565607","Normal","Alistar,Irelia,Zed,Evelynn,Yasuo","Lux,Xin Zhao,Jax,Anivia,Yasuo","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3278565607&summonerId=17170984&gameTime=1532091357","Alistar","Irelia","Zed","Evelynn","Yasuo","Lux","Xin Zhao","Jax","Anivia","Yasuo"
"3278586093","Normal","Talon,Orianna,Thresh,Fiddlesticks,Jhin","Talon,Pantheon,Tryndamere,Yasuo,Tristana","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3278586093&summonerId=17170984&gameTime=1532095180","Talon","Orianna","Thresh","Fiddlesticks","Jhin","Talon","Pantheon","Tryndamere","Yasuo","Tristana"
"3278590630","Normal","Orianna,Malphite,Ezreal,Yasuo,Kindred","Ashe,Rammus,Alistar,Yasuo,Kled","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3278590630&summonerId=17170984&gameTime=1532092770","Orianna","Malphite","Ezreal","Yasuo","Kindred","Ashe","Rammus","Alistar","Yasuo","Kled"
"3278669270","Normal","Caitlyn,Kayn,Yasuo,Blitzcrank,Jayce","Fiora,Aatrox,Varus,Rakan,Trundle","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3278669270&summonerId=17170984&gameTime=1532097854","Caitlyn","Kayn","Yasuo","Blitzcrank","Jayce","Fiora","Aatrox","Varus","Rakan","Trundle"
"3278727404","Normal","Talon,Graves,Lucian,Illaoi,Bard","Viktor,Gragas,Yasuo,Jax,Nunu & Willump","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3278727404&summonerId=20492500&gameTime=1532103877","Talon","Graves","Lucian","Illaoi","Bard","Viktor","Gragas","Yasuo","Jax","Nunu & Willump"
"3278625404","Normal","Maokai,Jhin,Morgana,Annie,Darius","Diana,Sona,Twisted Fate,Annie,Jhin","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3278625404&summonerId=17170984&gameTime=1532096754","Maokai","Jhin","Morgana","Annie","Darius","Diana","Sona","Twisted Fate","Annie","Jhin"
"3278760569","Normal","Ezreal,Shyvana,Vladimir,Aatrox,Blitzcrank","Zed,Jhin,Evelynn,Sona,Garen","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3278760569&summonerId=20492500&gameTime=1532102059","Ezreal","Shyvana","Vladimir","Aatrox","Blitzcrank","Zed","Jhin","Evelynn","Sona","Garen"
"3278849338","Normal","Veigar,Aatrox,Kindred,Sivir,Soraka","Ahri,Blitzcrank,Jhin,Yasuo,Nocturne","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3278849338&summonerId=8701183&gameTime=1532119870","Veigar","Aatrox","Kindred","Sivir","Soraka","Ahri","Blitzcrank","Jhin","Yasuo","Nocturne"
"3280073012","Normal","Garen,Fizz,LeBlanc,Kayle,Malphite","Yasuo,Leona,Kai'Sa,Kha'Zix,Gragas","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3280073012&summonerId=60721408&gameTime=1532199409","Garen","Fizz","LeBlanc","Kayle","Malphite","Yasuo","Leona","Kai'Sa","Kha'Zix","Gragas"
"3280084599","Normal","Trundle,Jinx,Zed,Amumu,Pantheon","Vel'Koz,Nami,Yasuo,Ahri,Rek'Sai","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3280084599&summonerId=60721408&gameTime=1532201207","Trundle","Jinx","Zed","Amumu","Pantheon","Vel'Koz","Nami","Yasuo","Ahri","Rek'Sai"
"3280571837","Normal","Pyke,Shen,Kai'Sa,LeBlanc,Vayne","Darius,Jinx,Nocturne,Zed,Thresh","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3280571837&summonerId=60721408&gameTime=1532252787","Pyke","Shen","Kai'Sa","LeBlanc","Vayne","Darius","Jinx","Nocturne","Zed","Thresh"
"3281211513","Normal","Zoe,Ezreal,Shyvana,Malphite,Udyr","Sona,Xayah,Poppy,Anivia,Elise","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3281211513&summonerId=60721408&gameTime=1532273634","Zoe","Ezreal","Shyvana","Malphite","Udyr","Sona","Xayah","Poppy","Anivia","Elise"
"3281336156","Normal","Lucian,Morgana,Nidalee,Rengar,Yasuo","Soraka,Twisted Fate,Camille,Karthus,Darius","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3281336156&summonerId=8701183&gameTime=1532295449","Lucian","Morgana","Nidalee","Rengar","Yasuo","Soraka","Twisted Fate","Camille","Karthus","Darius"
"3282194171","Normal","Nami,Veigar,Miss Fortune,Zac,Nidalee","Zoe,Kindred,Draven,Miss Fortune,Brand","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3282194171&summonerId=5690896&gameTime=1532367926","Nami","Veigar","Miss Fortune","Zac","Nidalee","Zoe","Kindred","Draven","Miss Fortune","Brand"
"3283101710","Normal","Blitzcrank,Twisted Fate,Lucian,Darius,Nidalee","Swain,Blitzcrank,Darius,Caitlyn,Garen","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3283101710&summonerId=60721408&gameTime=1532449226","Blitzcrank","Twisted Fate","Lucian","Darius","Nidalee","Swain","Blitzcrank","Darius","Caitlyn","Garen"
"3283167470","Normal","Zyra,Leona,Veigar,Annie,Rengar","Pyke,Diana,Caitlyn,Zed,Kennen","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3283167470&summonerId=23970793&gameTime=1532463939","Zyra","Leona","Veigar","Annie","Rengar","Pyke","Diana","Caitlyn","Zed","Kennen"
"3284021545","Normal","Master Yi,Aatrox,Jhin,Swain,Lux","Fiddlesticks,Graves,Kalista,Volibear,LeBlanc","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3284021545&summonerId=6935331&gameTime=1532525285","Master Yi","Aatrox","Jhin","Swain","Lux","Fiddlesticks","Graves","Kalista","Volibear","LeBlanc"
"3284026724","Normal","Kai'Sa,Shyvana,Rakan,Warwick,Ezreal","Zed,Yasuo,Braum,Sion,Lee Sin","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3284026724&summonerId=6935331&gameTime=1532527724","Kai'Sa","Shyvana","Rakan","Warwick","Ezreal","Zed","Yasuo","Braum","Sion","Lee Sin"
"3284094117","Normal","Orianna,Lee Sin,Vayne,Cho'Gath,Alistar","Ezreal,Katarina,Kayn,Shen,Blitzcrank","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3284094117&summonerId=6935331&gameTime=1532530180","Orianna","Lee Sin","Vayne","Cho'Gath","Alistar","Ezreal","Katarina","Kayn","Shen","Blitzcrank"
"3284171086","Normal","LeBlanc,Rengar,Xayah,Thresh,Darius","Zoe,Bard,Graves,Tahm Kench,Jhin","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3284171086&summonerId=6935331&gameTime=1532532688","LeBlanc","Rengar","Xayah","Thresh","Darius","Zoe","Bard","Graves","Tahm Kench","Jhin"
"3285394046","Normal","Karma,Jinx,Annie,Aatrox,Volibear","Lee Sin,Gragas,Vladimir,Jax,Sivir","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3285394046&summonerId=27460222&gameTime=1532649611","Karma","Jinx","Annie","Aatrox","Volibear","Lee Sin","Gragas","Vladimir","Jax","Sivir"
"3285424572","Normal","Xayah,Zyra,Graves,Ornn,Azir","Yasuo,Fiddlesticks,Sivir,Rammus,Cho'Gath","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3285424572&summonerId=27460222&gameTime=1532651766","Xayah","Zyra","Graves","Ornn","Azir","Yasuo","Fiddlesticks","Sivir","Rammus","Cho'Gath"
"3285679018","Normal","Lee Sin,Diana,Blitzcrank,Zed,Orianna","Xayah,Lux,Annie,Master Yi,Tryndamere","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3285679018&summonerId=5628391&gameTime=1532679649","Lee Sin","Diana","Blitzcrank","Zed","Orianna","Xayah","Lux","Annie","Master Yi","Tryndamere"
"3285688285","Normal","Lee Sin,Janna,Zoe,Jax,Twitch","Zed,Pyke,Jhin,Gangplank,Riven","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3285688285&summonerId=5628391&gameTime=1532682972","Lee Sin","Janna","Zoe","Jax","Twitch","Zed","Pyke","Jhin","Gangplank","Riven"
"3285704654","Normal","Bard,Kayn,Shen,Kassadin,Ezreal","Rammus,Darius,Wukong,Veigar,Katarina","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3285704654&summonerId=1101016&gameTime=1532682328","Bard","Kayn","Shen","Kassadin","Ezreal","Rammus","Darius","Wukong","Veigar","Katarina"
"3285703561","Normal","Master Yi,Thresh,Jhin,Yasuo,Nidalee","Corki,Jinx,Thresh,Riven,Graves","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3285703561&summonerId=5628391&gameTime=1532681430","Master Yi","Thresh","Jhin","Yasuo","Nidalee","Corki","Jinx","Thresh","Riven","Graves"
"3285740640","Normal","Riven,Zed,Miss Fortune,Morgana,Graves","Wukong,Fiora,Orianna,Nunu & Willump,Volibear","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3285740640&summonerId=1101016&gameTime=1532683831","Riven","Zed","Miss Fortune","Morgana","Graves","Wukong","Fiora","Orianna","Nunu & Willump","Volibear"
"3285773653","Normal","Jarvan IV,Zoe,Leona,Trundle,Volibear","Jhin,Heimerdinger,Jinx,Trundle,Pyke","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3285773653&summonerId=1101016&gameTime=1532685980","Jarvan IV","Zoe","Leona","Trundle","Volibear","Jhin","Heimerdinger","Jinx","Trundle","Pyke"
"3285779268","Normal","Xayah,Ryze,Garen,Azir,Blitzcrank","Master Yi,Lulu,Kog'Maw,Jax,Yasuo","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3285779268&summonerId=1101016&gameTime=1532687347","Xayah","Ryze","Garen","Azir","Blitzcrank","Master Yi","Lulu","Kog'Maw","Jax","Yasuo"
"3286310500","Normal","Ahri,Renekton,Jhin,Wukong,Thresh","Quinn,Gangplank,Rakan,Yasuo,Shen","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3286310500&summonerId=25033142&gameTime=1532701195","Ahri","Renekton","Jhin","Wukong","Thresh","Quinn","Gangplank","Rakan","Yasuo","Shen"
"3286339464","Normal","Quinn,Xayah,Garen,Zed,Rakan","Zed,Yasuo,Lee Sin,Jinx,Rakan","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3286339464&summonerId=25033142&gameTime=1532705884","Quinn","Xayah","Garen","Zed","Rakan","Zed","Yasuo","Lee Sin","Jinx","Rakan"
"3286288630","Normal","Miss Fortune,Twisted Fate,Gnar,Jax,Tahm Kench","Lux,Garen,Yasuo,Singed,Camille","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3286288630&summonerId=25033142&gameTime=1532704257","Miss Fortune","Twisted Fate","Gnar","Jax","Tahm Kench","Lux","Garen","Yasuo","Singed","Camille"
"3286413723","Normal","Lux,Xayah,Veigar,Master Yi,Tryndamere","Tahm Kench,Aatrox,Trundle,Yasuo,Illaoi","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3286413723&summonerId=25033142&gameTime=1532707638","Lux","Xayah","Veigar","Master Yi","Tryndamere","Tahm Kench","Aatrox","Trundle","Yasuo","Illaoi"
"3286547016","Normal","Vayne,Morgana,Nami,Garen,Xin Zhao","Ezreal,Jhin,Malphite,Trundle,Rengar","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3286547016&summonerId=60721408&gameTime=1532734922","Vayne","Morgana","Nami","Garen","Xin Zhao","Ezreal","Jhin","Malphite","Trundle","Rengar"
"3286766150","Normal","Rengar,Caitlyn,Katarina,Rakan,LeBlanc","Vayne,Urgot,Kha'Zix,Zoe,Blitzcrank","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3286766150&summonerId=9102669&gameTime=1532757661","Rengar","Caitlyn","Katarina","Rakan","LeBlanc","Vayne","Urgot","Kha'Zix","Zoe","Blitzcrank"
"3287549528","Normal","Olaf,Volibear,Swain,Orianna,Rakan","Poppy,Rakan,Azir,Garen,Xayah","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3287549528&summonerId=6935331&gameTime=1532789153","Olaf","Volibear","Swain","Orianna","Rakan","Poppy","Rakan","Azir","Garen","Xayah"
"3287808486","Normal","Jhin,Malphite,Malzahar,Nami,Leona","Rakan,Nocturne,Irelia,Ahri,Miss Fortune","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3287808486&summonerId=60721408&gameTime=1532811780","Jhin","Malphite","Malzahar","Nami","Leona","Rakan","Nocturne","Irelia","Ahri","Miss Fortune"
"3287831401","Normal","Lee Sin,Jinx,Blitzcrank,Xerath,Darius","Nocturne,Zoe,Dr. Mundo,Zed,Rammus","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3287831401&summonerId=60721408&gameTime=1532815734","Lee Sin","Jinx","Blitzcrank","Xerath","Darius","Nocturne","Zoe","Dr. Mundo","Zed","Rammus"
"3287822284","Normal","Varus,Orianna,Amumu,Shaco,Sona","Shaco,Twitch,Quinn,Pyke,Yasuo","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3287822284&summonerId=60721408&gameTime=1532817621","Varus","Orianna","Amumu","Shaco","Sona","Shaco","Twitch","Quinn","Pyke","Yasuo"
"3288428387","Normal","Riven,Jhin,Lulu,Kindred,Syndra","Vayne,Hecarim,Orianna,Shen,Kindred","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3288428387&summonerId=1101016&gameTime=1532868736","Riven","Jhin","Lulu","Kindred","Syndra","Vayne","Hecarim","Orianna","Shen","Kindred"
"3288514160","Normal","Jhin,Veigar,Teemo,Tahm Kench,Lee Sin","Blitzcrank,LeBlanc,Garen,Xayah,Kindred","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3288514160&summonerId=1101016&gameTime=1532871579","Jhin","Veigar","Teemo","Tahm Kench","Lee Sin","Blitzcrank","LeBlanc","Garen","Xayah","Kindred"
"3289032693","Normal","Swain,Rammus,Kai'Sa,Fiddlesticks,Gragas","Ezreal,Fizz,Poppy,Graves,Yasuo","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3289032693&summonerId=60721408&gameTime=1532890412","Swain","Rammus","Kai'Sa","Fiddlesticks","Gragas","Ezreal","Fizz","Poppy","Graves","Yasuo"
"3288388140","Normal","Wukong,Blitzcrank,Kai'Sa,Maokai,Lux","Soraka,Pyke,Aatrox,Hecarim,Lucian","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3288388140&summonerId=1101016&gameTime=1532867211","Wukong","Blitzcrank","Kai'Sa","Maokai","Lux","Soraka","Pyke","Aatrox","Hecarim","Lucian"
"3289846259","Normal","Orianna,Caitlyn,Leona,Rengar,Ornn","Blitzcrank,Irelia,Zed,Lee Sin,Orianna","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3289846259&summonerId=5628391&gameTime=1532972286","Orianna","Caitlyn","Leona","Rengar","Ornn","Blitzcrank","Irelia","Zed","Lee Sin","Orianna"
"3289834544","Normal","Swain,Malzahar,Morgana,Kindred,Yasuo","Lucian,Orianna,Riven,Bard,Ekko","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3289834544&summonerId=5628391&gameTime=1532970924","Swain","Malzahar","Morgana","Kindred","Yasuo","Lucian","Orianna","Riven","Bard","Ekko"
"3289819367","Normal","Yasuo,Blitzcrank,Vayne,Lee Sin,Talon","Malphite,Lee Sin,Pyke,Jax,Miss Fortune","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3289819367&summonerId=5628391&gameTime=1532974891","Yasuo","Blitzcrank","Vayne","Lee Sin","Talon","Malphite","Lee Sin","Pyke","Jax","Miss Fortune"
"3290659243","Normal","Poppy,Katarina,Rakan,Teemo,Jhin","Xin Zhao,Darius,Alistar,Varus,Fizz","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3290659243&summonerId=6935331&gameTime=1533040207","Poppy","Katarina","Rakan","Teemo","Jhin","Xin Zhao","Darius","Alistar","Varus","Fizz"
"3290895391","Normal","Zed,Yasuo,Lee Sin,Ezreal,Zoe","Camille,Soraka,Draven,Aatrox,Karthus","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3290895391&summonerId=38521152&gameTime=1533052993","Zed","Yasuo","Lee Sin","Ezreal","Zoe","Camille","Soraka","Draven","Aatrox","Karthus"
"3291689828","Normal","Lux,Annie,Trundle,Corki,Kai'Sa","Ivern,Rammus,Yasuo,Rengar,Irelia","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3291689828&summonerId=20100483&gameTime=1533120082","Lux","Annie","Trundle","Corki","Kai'Sa","Ivern","Rammus","Yasuo","Rengar","Irelia"
