"gameid","gametype","blue","red","resultb","url","SPLIT_STRING(blue,',',1)","SPLIT_STRING(blue,',',2)","SPLIT_STRING(blue,',',3)","SPLIT_STRING(blue,',',4)","SPLIT_STRING(blue,',',5)","SPLIT_STRING(red,',',1)","SPLIT_STRING(red,',',2)","SPLIT_STRING(red,',',3)","SPLIT_STRING(red,',',4)","SPLIT_STRING(red,',',5)"
"3389068837","Normal","Lucian,Lee Sin,Soraka,Rengar,Veigar","Jhin,Syndra,Diana,Veigar,Yasuo","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389068837&summonerId=13942844&gameTime=1540027476","Lucian","Lee Sin","Soraka","Rengar","Veigar","Jhin","Syndra","Diana","Veigar","Yasuo"
"3389068903","Normal","Twisted Fate,Taliyah,Thresh,Teemo,Vayne","Aatrox,Lulu,Rakan,Xayah,Graves","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389068903&summonerId=67650359&gameTime=1540028701","Twisted Fate","Taliyah","Thresh","Teemo","Vayne","Aatrox","Lulu","Rakan","Xayah","Graves"
"3389073675","Normal","Twisted Fate,Kalista,Irelia,Gangplank,Thresh","Twisted Fate,Vi,Aatrox,Ezreal,Lucian","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389073675&summonerId=8616237&gameTime=1540026797","Twisted Fate","Kalista","Irelia","Gangplank","Thresh","Twisted Fate","Vi","Aatrox","Ezreal","Lucian"
"3389073507","Normal","Darius,Xayah,Blitzcrank,Vayne,Zed","Ivern,Yasuo,Garen,Lee Sin,Rengar","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389073507&summonerId=10605858&gameTime=1540028517","Darius","Xayah","Blitzcrank","Vayne","Zed","Ivern","Yasuo","Garen","Lee Sin","Rengar"
"3389074524","Normal","Malzahar,Graves,Pyke,Volibear,Kai'Sa","Lulu,Camille,Aatrox,Kassadin,Ashe","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389074524&summonerId=16330421&gameTime=1540027800","Malzahar","Graves","Pyke","Volibear","Kai'Sa","Lulu","Camille","Aatrox","Kassadin","Ashe"
"3389078990","Normal","Fiora,Lee Sin,Thresh,Ezreal,Akali","Thresh,Twisted Fate,Nasus,Gragas,Kai'Sa","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389078990&summonerId=9802206&gameTime=1540029330","Fiora","Lee Sin","Thresh","Ezreal","Akali","Thresh","Twisted Fate","Nasus","Gragas","Kai'Sa"
"3389212275","Normal","Lee Sin,Brand,Orianna,Rakan,Urgot","Jhin,Camille,Urgot,Morgana,Syndra","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389212275&summonerId=16330421&gameTime=1540029026","Lee Sin","Brand","Orianna","Rakan","Urgot","Jhin","Camille","Urgot","Morgana","Syndra"
"3389231366","Normal","Malphite,Ezreal,Evelynn,Yasuo,Cassiopeia","Veigar,Master Yi,Ezreal,Camille,Pantheon","0","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389231366&summonerId=21490605&gameTime=1540029704","Malphite","Ezreal","Evelynn","Yasuo","Cassiopeia","Veigar","Master Yi","Ezreal","Camille","Pantheon"
"3389231804","Normal","Varus,Viktor,Pyke,Lux,Vi","Lulu,Yasuo,Xayah,Xin Zhao,Aatrox","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389231804&summonerId=8685937&gameTime=1540029963","Varus","Viktor","Pyke","Lux","Vi","Lulu","Yasuo","Xayah","Xin Zhao","Aatrox"
"3389231406","Normal","Pyke,Yasuo,Ezreal,Zed,Hecarim","Pyke,Jax,Vayne,Tryndamere,Twisted Fate","1","http://www.op.gg/summoner/matches/ajax/detail/gameId=3389231406&summonerId=3700531&gameTime=1540030039","Pyke","Yasuo","Ezreal","Zed","Hecarim","Pyke","Jax","Vayne","Tryndamere","Twisted Fate"
